HSK_Level,Simplified,Pinyin,Frequency,POS,Meanings
4,之间,zhī jiān,476,f,"(after a noun) between; among; amid | (used after certain bisyllabic words to form expressions indicating a short period of time, e.g. 弹指之间)"
4,乐趣,lè qù,4402,n,delight; pleasure; joy
4,了不起,liǎo bu qǐ,5874,a,amazing | terrific | extraordinary
4,了解,liǎo jiě,336,"v, vn",to understand | to realize | to find out
4,争论,zhēng lùn,5270,"v, vn",to argue | to debate | to contend
4,事先,shì xiān,4757,d,in advance | before the event | beforehand
4,事物,shì wù,3523,n,thing; object
4,二手,èr shǒu,10587,b,"indirectly acquired | second-hand (information, equipment etc) | assistant"
4,于是,yú shì,1151,cc,thereupon; as a result; consequently; thus; hence
4,五颜六色,wǔ yán liù sè,28844,l,multicolored | every color under the sun
4,亚运会,Yà yùn huì,25188,n,Asian Games
4,些,xiē,611,q,"classifier indicating a small amount or small number greater than 1: some, a few, several"
4,交换,jiāo huàn,3196,"v, vn",to exchange | to swap | to switch (telecom)
4,交际,jiāo jì,11527,"v, vn",communication | social intercourse
4,产品,chǎn pǐn,1421,n,goods | merchandise | product
4,亲密,qīn mì,4458,"a, ad",intimate | close
4,亲爱,qīn ài,1202,a,dear | beloved | darling
4,人家,rén jiā,1850,"r, n",household | dwelling | family
4,从此,cóng cǐ,3935,d,from now on | since then | henceforth
4,付出,fù chū,2087,"v, vn",to pay; to expend; to invest (energy or time)
4,代替,dài tì,4167,v,to replace | to take the place of
4,以内,yǐ nèi,7129,f,within | less than
4,以及,yǐ jí,558,cc,as well as | too | and
4,企业,qǐ yè,2296,n,company; firm; enterprise; corporation
4,优秀,yōu xiù,1689,a,outstanding; excellent
4,优美,yōu měi,7192,a,graceful | fine | elegant
4,优良,yōu liáng,10627,z,fine | good | first-rate
4,伙,huǒ,4111,q,meals (abbr. for 食) | variant of 伙
4,伙伴,huǒ bàn,2698,n,partner | companion | comrade
4,会计,kuài jì,4284,n,accountant | accountancy | accounting
4,伞,sǎn,6101,n,umbrella | parasol
4,传统,chuán tǒng,1363,"n, a",tradition | traditional | convention
4,伤害,shāng hài,1296,"v, vn",to injure | to harm
4,似乎,sì hū,997,d,it seems; seemingly; as if
4,似的,shì de,2525,u,seems as if | rather like | Taiwan pr. [sì de]
4,位于,wèi yú,3108,v,to be located at | to be situated at | to lie
4,位置,wèi zhi,1003,n,position | place | seat
4,体操,tǐ cāo,8893,n,gymnastic | gymnastics
4,体检,tǐ jiǎn,8459,"v, vn",abbr. for 体格检查
4,体重,tǐ zhòng,4003,n,body weight
4,作为,zuò wéi,405,"p, v",one's conduct | deed | activity
4,作出,zuò chū,3060,v,"to put out | to come up with | to make (a choice, decision, proposal, response, comment etc)"
4,使劲,shǐ jìn,8033,v,to exert all one's strength
4,供应,gōng yìng,3514,"vn, v",to supply | to provide | to offer
4,依然,yī rán,1943,"d, z",still | as before
4,依靠,yī kào,2967,"v, vn",to rely on sth (for support etc) | to depend on
4,促使,cù shǐ,7521,v,to induce | to promote | to urge
4,促进,cù jìn,6415,"v, vn",to promote (an idea or cause) | to advance | boost
4,促销,cù xiāo,8442,"vn, v",to promote sales
4,保守,bǎo shǒu,4898,"a, v, an",conservative | to guard | to keep
4,保密,bǎo mì,5279,"v, vn",to keep sth confidential | to maintain secrecy
4,俩,liǎ,1419,m,two (colloquial equivalent of 两个) | both | some
4,修理,xiū lǐ,5879,"v, vn",to repair | to fix | to prune
4,倍,bèi,1396,"q, d","(two, three etc) -fold | times (multiplier) | double"
4,倒车,dǎo chē,16831,"v, vn","to change buses, trains etc"
4,倒闭,dǎo bì,11967,"v, vn",to go bankrupt | to close down
4,假如,jiǎ rú,3671,"c, v",if
4,做梦,zuò mèng,4824,v,to dream | to have a dream | fig. illusion
4,停下,tíng xià,1183,v,to stop
4,健身,jiàn shēn,4744,"vn, v",to exercise | to keep fit | to work out
4,儿童,ér tóng,1692,n,child
4,兄弟,xiōng dì,1060,n,"brothers | younger brother | I, me (humble term used by men in public speech)"
4,充分,chōng fèn,2392,"a, ad",ample | sufficient | adequate
4,充电,chōng diàn,8349,"v, vn",to recharge (a battery) | (fig.) to recharge one's batteries (through leisure) | to update one's skills and knowledge
4,充电器,chōng diàn qì,16655,n,battery charger
4,光临,guāng lín,8731,"v, vn",(formal) to honor with one's presence | to attend
4,光盘,guāng pán,14628,n,compact disc (CD); DVD; CD-ROM
4,免费,miǎn fèi,1416,"v, vn",free (of charge)
4,公元,gōng yuán,12319,n,CE (Common Era) | Christian Era | AD (Anno Domini)
4,共,gòng,1227,"d, g, b",common | general | to share
4,关于,guān yú,478,p,pertaining to | concerning | with regard to
4,关闭,guān bì,3178,"v, vn","to close; to shut (a window etc) | (of a shop, school etc) to shut down"
4,兴奋,xīng fèn,1839,"v, a, an",excited | excitement | (physiology) excitation
4,兴趣,xìng qù,1847,n,interest (desire to know about sth) | interest (thing in which one is interested); hobby
4,兵,bīng,2469,n,soldiers | a force | an army
4,其余,qí yú,4081,r,the rest | the others | remaining
4,具备,jù bèi,4462,v,to possess | to have | equipped with
4,典型,diǎn xíng,3251,"n, a",model | typical case | archetype
4,养成,yǎng chéng,13078,"v, vn",to cultivate | to raise | to form (a habit)
4,内科,nèi kē,13792,"n, nr",internal medicine; general medicine
4,内部,nèi bù,1865,f,"interior | inside (part, section) | internal"
4,再三,zài sān,13301,d,over and over again | again and again
4,冬季,dōng jì,6769,t,winter
4,冰,bīng,2036,n,ice | to chill sth | (of an object or substance) to feel cold
4,冰箱,bīng xiāng,4168,n,icebox | freezer cabinet | refrigerator
4,冰雪,bīng xuě,12795,n,ice and snow
4,冲,chōng,1312,v,(of water) to dash against | to mix with water | to infuse
4,冷静,lěng jìng,2908,"a, ad, an",calm; cool-headed; dispassionate | (of a place) deserted; quiet
4,准时,zhǔn shí,6248,"ad, a, an",on time | punctual | on schedule
4,减,jiǎn,3695,v,to lower | to decrease | to reduce
4,减少,jiǎn shǎo,2443,"v, vn",to lessen; to decrease; to reduce; to lower
4,减肥,jiǎn féi,3988,"v, vn",to lose weight
4,几乎,jī hū,1001,d,almost; nearly; practically
4,出售,chū shòu,3758,"v, vn",to sell | to offer for sale | to put on the market
4,出席,chū xí,2535,v,to attend | to participate | present
4,出色,chū sè,2028,"a, ad",remarkable; outstanding
4,分为,fēn wéi,8420,v,to divide sth into (parts) | to subdivide
4,分之,fēn zhī,42376,m,(indicating a fraction)
4,分布,fēn bù,7247,"v, vn",to scatter | to distribute | to be distributed (over an area etc)
4,分手,fēn shǒu,2494,"v, vn",to part company | to split up | to break up
4,分散,fēn sàn,4846,"v, a, ad",to scatter | to disperse | to distribute
4,切,qiē,1757,"v, d, g",to cut; to slice; to carve | (math) tangential
4,划,huá,2993,v,to row | to paddle | profitable
4,列,liè,2209,"v, q, n",to arrange | to line up | file
4,列为,liè wéi,8850,v,to be classified as
4,列入,liè rù,8323,v,to include on a list
4,列车,liè chē,4242,n,(railway) train
4,利息,lì xī,6487,n,interest (on a loan)
4,利益,lì yì,2117,n,benefit | (in sb's) interest
4,制订,zhì dìng,12587,"v, vn",to work out | to formulate
4,刷,shuā,3060,"v, o",to brush | to paint | to daub
4,刷子,shuā zi,21763,n,brush | scrub
4,刷牙,shuā yá,10112,v,to brush one's teeth
4,刺,cī,2566,"v, n",(onom.) whoosh
4,刺激,cì jī,1968,"v, vn",to provoke; to irritate; to upset; to stimulate; to excite | irritant
4,前头,qián tou,17581,f,in front | at the head | ahead
4,前途,qián tú,4857,n,prospects | future outlook | journey
4,力气,lì qi,5156,n,strength
4,办事,bàn shì,4819,"v, vn",to handle (affairs) | to work
4,加入,jiā rù,1056,v,to become a member | to join | to mix into
4,加油站,jiā yóu zhàn,7839,n,gas station
4,加班,jiā bān,5951,"v, vn",to work overtime
4,动摇,dòng yáo,8871,"v, an, a",to sway | to waver | to rock
4,动画片,dòng huà piàn,10899,n,animated film
4,勇敢,yǒng gǎn,2934,"a, ad, an",brave; courageous
4,勇气,yǒng qì,3096,n,courage | valor
4,包含,bāo hán,5524,v,to contain | to embody | to include
4,包括,bāo kuò,788,v,to comprise | to include | to involve
4,包裹,bāo guǒ,5432,"n, v",to wrap up | to bind up | bundle
4,医学,yī xué,3044,n,medicine | medical science | study of medicine
4,医疗,yī liáo,1749,n,medical treatment
4,单,Shàn,931,"d, b, g",surname Shan
4,单独,dān dú,3019,"d, b",alone | by oneself | on one's own
4,单纯,dān chún,4715,"a, ad",simple | pure | unsophisticated
4,单调,dān diào,12994,"a, an",monotonous
4,即将,jí jiāng,1906,d,on the eve of | to be about to | to be on the verge of
4,却,què,199,d,old variant of 却
4,卷,juǎn,2089,"q, v, g","to roll up | roll | classifier for small rolled things (wad of paper money, movie reel etc)"
4,历史,lì shǐ,882,n,history
4,厘米,lí mǐ,23825,q,centimeter
4,厚,hòu,3759,a,thick | deep or profound | kind
4,原则,yuán zé,2188,n,principle | doctrine
4,原料,yuán liào,6634,n,raw material
4,县,xiàn,3513,n,county
4,参与,cān yù,1027,"v, vn",to participate (in sth)
4,参考,cān kǎo,5682,"v, vn",consultation | reference | to consult
4,及格,jí gé,9699,v,to pass an exam or a test | to meet a minimum standard
4,反,fǎn,1290,"v, b, d",contrary | in reverse | inside out or upside down
4,反映,fǎn yìng,3914,"v, vn",to mirror | to reflect | mirror image
4,反而,fǎn ér,3595,d,on the contrary; instead
4,发挥,fā huī,1869,"v, vn",to display | to exhibit | to bring out implicit or innate qualities
4,发烧,fā shāo,5836,"v, vn, b",to have a high temperature (from illness) | to have a fever
4,发票,fā piào,9848,n,invoice | receipt or bill for purchase
4,叔叔,shū shu,3510,n,father's younger brother | uncle | Taiwan pr. [shú shu]
4,受不了,shòu bù liǎo,3756,l,unbearable | unable to endure | can't stand
4,口袋,kǒu dài,4512,"n, q",pocket | bag | sack
4,口语,kǒu yǔ,20368,n,colloquial speech | spoken language | vernacular language
4,召开,zhào kāi,4146,v,to convene (a conference or meeting) | to convoke | to call together
4,可见,kě jiàn,8748,"v, c",it can clearly be seen (that this is the case) | it is (thus) clear | clear
4,台上,tái shàng,4897,s,on stage
4,台阶,tái jiē,7435,n,steps | flight of steps | step (over obstacle)
4,叶子,yè zi,10287,"n, nr",leaf | (slang) marijuana
4,号码,hào mǎ,2110,n,number
4,吃惊,chī jīng,4518,a,to be startled | to be shocked | to be amazed
4,各个,gè gè,3882,r,"every | various | separately, one by one"
4,合同,hé tong,1766,n,(business) contract
4,同情,tóng qíng,4665,"v, vn",to sympathize with | sympathy
4,名人,míng rén,3879,n,personage | celebrity
4,名片,míng piàn,6747,n,(business) card
4,名牌儿,míngpáir5,1000000,,Famous brand
4,后头,hòu tou,16864,f,behind | the back | the rear
4,否则,fǒu zé,1416,c,otherwise; if not; or (else)
4,含,hán,3249,v,to keep in the mouth | to contain
4,含义,hán yì,6120,n,meaning (implicit in a phrase) | implied meaning | hidden meaning
4,含有,hán yǒu,5329,v,to contain | including
4,含量,hán liàng,4617,n,content | quantity contained
4,吸,xī,2340,v,to breathe | to suck in | to absorb
4,吸引,xī yǐn,1617,v,to attract; to appeal to; to fascinate
4,吸收,xī shōu,4256,"v, vn",to absorb | to assimilate | to ingest
4,吸烟,xī yān,5921,"v, vn",to smoke
4,吸管,xī guǎn,18880,n,(drinking) straw | pipette | eyedropper
4,呀,ya,432,y,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)"
4,味儿,wèi r,10621,n,taste
4,呼吸,hū xī,2003,"v, vn",to breathe
4,咸,Xián,7379,a,surname Xian
4,品质,pǐn zhì,5177,n,"character | intrinsic quality (of a person) | quality (of a product or service, or as in ""quality of life"", ""air quality"" etc)"
4,哪怕,nǎ pà,4106,c,even | even if | even though
4,售货员,shòu huò yuán,19954,n,salesperson
4,唱片,chàng piàn,4152,n,gramophone record | LP | music CD
4,商务,shāng wù,5810,n,commercial affairs | commercial | commerce
4,善于,shàn yú,5447,v,to be good at; to be adept at
4,善良,shàn liáng,4078,"a, an",good and honest | kindhearted
4,喜爱,xǐ ài,4247,"v, vn",to like | to love | to be fond of
4,嘴巴,zuǐ ba,4576,n,mouth | slap in the face
4,器官,qì guān,4857,n,(physiology) organ; apparatus
4,回复,huí fù,2477,"v, vn",to reply | to recover | to return (to a previous condition)
4,围巾,wéi jīn,7051,n,scarf | shawl
4,固定,gù dìng,3096,"a, v, vn",to fix | to fasten | to set rigidly in place
4,图案,tú àn,6241,n,design; pattern
4,圆,yuán,2899,"g, a, n, v",circle | round | circular
4,圆满,yuán mǎn,7745,"a, ad",satisfactory | consummate | perfect
4,圈,juān,1517,"qv, n, v",to confine | to lock up | to pen in
4,土地,tǔ dì,1563,n,land | soil | territory
4,在乎,zài hu,2833,v,to care about | equivalent of 在于
4,在于,zài yú,1868,v,to be in | to lie in | to consist in
4,地下,dì xià,2908,s,underground | subterranean | covert
4,地位,dì wèi,2771,n,position | status | place
4,地址,dì zhǐ,1067,n,address
4,地面,dì miàn,3289,n,floor | ground | surface
4,坚固,jiān gù,11999,a,firm | firmly | hard
4,垃圾,lā jī,1777,n,trash | refuse | garbage
4,型,xíng,1361,"k, g, n",mold | type | style
4,型号,xíng hào,7153,n,"model (particular version of a manufactured article) | type (product specification in terms of color, size etc)"
4,培养,péi yǎng,3133,"v, vn",to cultivate | to breed | to foster
4,培育,péi yù,10156,v,to train | to breed
4,培训,péi xùn,3619,"vn, v",to cultivate | to train | to groom
4,培训班,péi xùn bān,15281,n,training class
4,堵,dǔ,3782,"v, q","to block up (a road, pipe etc) | to stop up (a hole) | (fig.) (of a person) choked up with anxiety or stress"
4,堵车,dǔ chē,10563,"v, vn",traffic jam | (of traffic) to get congested
4,塑料,sù liào,4823,n,plastics
4,塑料袋,sù liào dài,12101,n,plastic bag
4,填,tián,4140,v,to fill or stuff | (of a form etc) to fill in
4,填空,tián kòng,42424,v,to fill a job vacancy | to fill in a blank (e.g. on questionnaire or exam paper)
4,士兵,shì bīng,2348,n,soldier
4,处,chǔ,505,"n, q, v",to reside | to live | to dwell
4,处于,chǔ yú,1772,v,"to be in (some state, position, or condition)"
4,复制,fù zhì,5395,"v, vn",to duplicate | to make a copy of | to copy
4,夏季,xià jì,7332,t,summer
4,外交官,wài jiāo guān,15122,n,diplomat
4,外套,wài tào,3188,n,coat | jacket
4,外汇,wài huì,15343,n,foreign (currency) exchange
4,多年,duō nián,4233,mq,many years | for many years | longstanding
4,多样,duō yàng,19807,"m, a",diverse | diversity | manifold
4,多次,duō cì,4428,"mq, ad, d",many times | repeatedly
4,多种,duō zhǒng,7142,m,many kinds of; multiple; diverse; multi-
4,大众,Dà zhòng,3665,"n, nz",Volkswagen (automobile manufacturer)
4,大会,dà huì,2435,n,general assembly | general meeting | convention
4,大哥,dà gē,3646,n,eldest brother | big brother (polite address for a man of about the same age as oneself) | gang leader
4,大型,dà xíng,3051,b,large | large-scale
4,大多,dà duō,5520,"d, m",for the most part | many | most
4,大妈,dà mā,12138,n,father's elder brother's wife | aunt (affectionate term for an elderly woman)
4,大姐,dà jiě,9404,n,big sister | elder sister | older sister (also polite term of address for a girl or woman slightly older than the speaker)
4,大巴,dà bā,11932,n,(coll.) large bus | coach | (abbr. for 大型巴士)
4,大方,dà fāng,7757,a,expert | scholar | mother earth
4,大楼,dà lóu,3844,n,"building (a relatively large, multistory one)"
4,大爷,dà yé,8931,n,arrogant idler | self-centered show-off
4,大规模,dà guī mó,5352,"b, d",large scale | extensive | wide scale
4,大陆,Dà lù,3855,n,mainland China (reference to the PRC)
4,天真,tiān zhēn,5823,"a, an",naive | innocent | artless
4,夫人,fū ren,2235,n,lady | madam | Mrs.
4,夫妇,fū fù,3257,n,a (married) couple | husband and wife
4,夫妻,fū qī,3431,n,husband and wife; married couple
4,失业,shī yè,4758,"v, vn",unemployment | to lose one's job
4,失望,shī wàng,2106,"a, an, ad",disappointed | to lose hope | to despair
4,失败,shī bài,1588,"v, vn",to be defeated | to lose | to fail (e.g. experiments)
4,奋斗,fèn dòu,4365,"v, vn",to strive; to struggle
4,奖,jiǎng,2198,"n, v",prize | award | encouragement
4,奖学金,jiǎng xué jīn,7771,n,scholarship
4,奖金,jiǎng jīn,3649,n,premium | award money | bonus
4,套餐,tào cān,12344,n,set meal | (fig.) product or service package (e.g. for a cell phone subscription)
4,女士,nu:3 shì,2155,n,lady | madam | Miss
4,好友,hǎo yǒu,4297,n,close friend | pal | (social networking website) friend
4,如今,rú jīn,2487,t,nowadays | now
4,妻子,qī zǐ,1187,n,wife and children
4,姐妹,jiě mèi,3183,n,"sisters | siblings | sister (school, city etc)"
4,婚礼,hūn lǐ,2548,n,wedding ceremony | wedding
4,字母,zì mǔ,6456,n,letter (of the alphabet)
4,孙女,sūn nu:3,11910,n,son's daughter | granddaughter
4,孙子,Sūn zǐ,5639,"n, nr","Sun Tzu, also known as Sun Wu 孙武 (c. 500 BC, dates of birth and death uncertain), general, strategist and philosopher of the Spring and Autumn Period (700-475 BC), believed to be the author of the “Art of War” 孙子兵法, one of the Seven Military Classics of ancient China 武经七书"
4,季,Jì,1588,"q, g, nr",surname Ji
4,季度,jì dù,5266,n,quarter of a year | season (sports)
4,季节,jì jié,4724,n,time | season | period
4,学分,xué fēn,15668,n,course credit
4,学年,xué nián,19939,n,academic year
4,学时,xué shí,52820,n,class hour | period
4,学术,xué shù,6632,n,learning | science | academic
4,学问,xué wèn,14605,n,learning | knowledge
4,宁静,níng jìng,7092,"a, an",tranquil | tranquility | serenity
4,守,shǒu,2638,v,to guard | to defend | to keep watch
4,安,Ān,1506,"v, g, nr, b, r",surname An
4,安置,ān zhì,5845,"v, vn",to find a place for | to help settle down | to arrange for
4,官,Guān,1825,n,surname Guan
4,官方,guān fāng,3703,n,government | official (approved or issued by an authority)
4,定,dìng,586,"v, d",to set | to fix | to determine
4,宝,bǎo,1908,"n, v",variant of 宝
4,宝宝,bǎo bao,1968,n,darling; baby
4,宝石,bǎo shí,8615,"n, nz",precious stone; gem
4,宝贝,bǎo bèi,1003,n,treasured object | treasure | darling
4,宝贵,bǎo guì,5572,a,valuable | precious | to value
4,实施,shí shī,2584,"v, vn",to implement | to carry out
4,实用,shí yòng,8149,"a, vn",practical | functional | pragmatic
4,家务,jiā wù,9208,n,household duties | housework
4,宽,Kuān,3471,a,surname Kuan
4,宽广,kuān guǎng,17575,a,wide | broad | extensive
4,寄,jì,2842,v,to send | to mail | to entrust
4,密,Mì,3591,"a, ad",surname Mi | name of an ancient state
4,密切,mì qiè,5024,"ad, a, v",close | familiar | intimate
4,密码,mì mǎ,3133,n,cipher; secret code | password; PIN
4,寒假,hán jià,21410,t,winter vacation
4,寒冷,hán lěng,6730,"a, an",cold (climate) | frigid | very cold
4,对于,duì yú,490,p,regarding; as far as (sth) is concerned; with regard to
4,对付,duì fu,3169,v,to handle; to deal with; to tackle | to get by with; to make do | (dialect) (usu. used in the negative) to get along with (sb)
4,对比,duì bǐ,5260,"vn, v",to contrast | contrast | ratio
4,寻找,xún zhǎo,1444,v,to seek; to look for
4,导游,dǎo yóu,10258,n,tour guide | guidebook | to conduct a tour
4,导致,dǎo zhì,1268,v,to lead to | to create | to cause
4,封闭,fēng bì,5618,"v, vn",to close; to seal off | to close down (an illegal venue) | closed (i.e. isolated from outside input)
4,小伙子,xiǎo huǒ zi,4267,n,young man | young guy | lad
4,小吃,xiǎo chī,10263,n,snack | refreshments
4,小型,xiǎo xíng,5057,b,small scale | small size
4,尺,chě,4305,"q, g","one of the characters used to represent a musical note in gongche notation, 工尺谱"
4,尺子,chǐ zi,36385,n,ruler (measuring instrument)
4,尺寸,chǐ cun,5892,n,size; dimensions; measurements (esp. of clothes) | (coll.) propriety
4,尽力,jìn lì,4488,"d, v",to strive one's hardest | to spare no effort
4,尽快,jǐn kuài,1987,d,as quickly as possible; as soon as possible
4,尾巴,wěi ba,6892,n,tail | colloquial pr. [yǐ ba]
4,局,jú,736,"n, qv",narrow
4,居住,jū zhù,4023,"v, vn",to reside | to dwell | to live in a place
4,居民,jū mín,2479,n,resident; inhabitant
4,工程,gōng chéng,2579,n,engineering | an engineering project | project
4,巧克力,qiǎo kè lì,3003,n,chocolate (loanword)
4,巨大,jù dà,1540,a,huge | immense | very large
4,巴士,bā shì,8312,n,bus (loanword) | motor coach
4,市区,shì qū,5603,s,urban district | downtown | city center
4,布置,bù zhì,4729,"v, vn",to put in order | to arrange | to decorate
4,帅,Shuài,1452,"nr, g",surname Shuai
4,帅哥,shuài gē,6378,nr,handsome guy | lady-killer | handsome (form of address)
4,常识,cháng shí,8740,n,common sense | general knowledge
4,帽子,mào zi,3553,n,hat | cap | (fig.) label
4,平均,píng jūn,3513,"a, ad, v",average; on average | evenly; in equal proportions
4,平方,píng fāng,13429,"q, n","square (as in square foot, square mile, square root)"
4,平稳,píng wěn,9128,"a, ad",smooth | steady
4,平静,píng jìng,3136,"a, an, ad",tranquil | undisturbed | serene
4,幼儿园,yòu ér yuán,5893,n,kindergarten | nursery school
4,应,Yīng,999,v,surname Ying | Taiwan pr. [Yìng]
4,底,de,849,"f, n",(equivalent to 的 as possessive particle)
4,度过,dù guò,2905,v,to pass | to spend (time) | to survive
4,延期,yán qī,10510,"v, vn",to delay | to extend | to postpone
4,延续,yán xù,6017,"v, vn",to continue | to go on | to last
4,延长,Yán cháng,5928,"v, vn","Yanchang county in Yan'an 安, Shaanxi"
4,开水,kāi shuǐ,16321,n,boiled water | boiling water
4,开花,kāi huā,11764,v,to bloom; to blossom; to flower | (fig.) to burst; to split open | (fig.) to burst with joy
4,引,yǐn,2892,v,to draw (e.g. a bow) | to pull | to stretch sth
4,引导,yǐn dǎo,3723,"v, vn",to guide | to lead (around) | to conduct
4,引起,yǐn qǐ,1216,v,to give rise to; to lead to; to cause; to arouse
4,引进,yǐn jìn,8315,v,to recommend | to introduce (from outside)
4,弯,wān,5007,"v, g, a, q",to bend | bent | a bend; a turn (in a road etc)
4,弱,ruò,2968,a,weak; feeble | young | inferior; not as good as
4,归,Guī,2278,v,surname Gui
4,录取,lù qǔ,5087,"v, vn","to accept an applicant (prospective student, employee etc) who passes an entrance exam | to admit (a student) | to hire (a job candidate)"
4,形势,xíng shì,3741,n,circumstances | situation | terrain
4,形容,xíng róng,4235,"v, vn",to describe | (literary) countenance; appearance
4,影子,yǐng zi,5925,n,shadow | reflection | (fig.) hint
4,彻底,chè dǐ,1659,"ad, a",thorough | thoroughly | complete
4,征服,zhēng fú,5954,v,to conquer | to subdue | to vanquish
4,征求,zhēng qiú,8059,v,"to solicit | to seek | to request (opinions, feedback etc)"
4,待遇,dài yù,4791,n,treatment | pay | salary
4,律师,lu:4 shī,1246,n,lawyer
4,得意,dé yì,6279,"a, an",proud of oneself | pleased with oneself | complacent
4,微信,Wēi xìn,1000000,,Weixin or WeChat (mobile text and voice messaging service developed by Tencent 腾讯)
4,微笑,wēi xiào,2208,"v, vn, n",smile | to smile
4,心理,xīn lǐ,1160,n,psychology | mentality
4,快递,kuài dì,7167,"v, vn",express delivery
4,忽视,hū shì,5020,"v, vn",to neglect; to overlook; to disregard; to ignore
4,怀念,huái niàn,3668,"v, vn",to cherish the memory of | to think of | to reminisce
4,怀疑,huái yí,1763,"v, vn",to doubt (sth) | to be skeptical of | to have one's doubts
4,思考,sī kǎo,2231,"v, vn",to reflect on | to ponder over
4,急忙,jí máng,18562,d,hastily
4,性质,xìng zhì,6027,n,nature | characteristic
4,怪,guài,1329,"v, a, d",bewildering | odd | strange
4,总之,zǒng zhī,3282,c,in a word | in short | in brief
4,总共,zǒng gòng,6369,d,altogether; in sum; in all; in total
4,总理,zǒng lǐ,5561,n,premier | prime minister
4,总统,zǒng tǒng,988,n,president (of a country)
4,恶心,ě xīn,2463,"a, an",variant of 恶心
4,情景,qíng jǐng,5196,n,scene | spectacle | circumstances
4,想念,xiǎng niàn,3090,v,to miss | to remember with longing | to long to see again
4,想象,xiǎng xiàng,1608,"v, vn",to imagine; to envision | imagination
4,感兴趣,gǎn xìng qù,11617,a,to be interested
4,成人,chéng rén,4923,"n, v, nr",adult
4,或许,huò xǔ,1228,d,perhaps; maybe
4,战争,zhàn zhēng,1274,n,war | conflict
4,战士,zhàn shì,2973,n,fighter | soldier | warrior
4,战斗,zhàn dòu,1822,"v, vn",to fight | to engage in combat | struggle
4,战胜,zhàn shèng,3571,v,to prevail over | to defeat | to surmount
4,戴,Dài,1802,"v, nr",surname Dai
4,户,hù,2265,"g, q",a household | door | family
4,手套,shǒu tào,6306,n,glove | mitten
4,手工,shǒu gōng,6943,"n, d",handwork | manual
4,手术,shǒu shù,1041,"n, v, vn",(surgical) operation | surgery
4,手里,shǒu lǐ,1705,"s, n",in hand | (a situation is) in sb's hands
4,打扫,dǎ sǎo,6258,v,to clean | to sweep
4,打折,dǎ zhé,10290,"v, vn",to give a discount
4,打败,dǎ bài,5317,v,to defeat | to overpower | to beat
4,打针,dǎ zhēn,13196,v,to give or have an injection
4,打雷,dǎ léi,28360,"v, vn",to rumble with thunder | clap of thunder
4,扩大,kuò dà,3635,"v, vn",to expand | to enlarge | to broaden one's scope
4,扩展,kuò zhǎn,9082,"v, vn",to extend | to expand | extension
4,扫,sǎo,4584,v,to sweep
4,批,pī,2398,"q, v",to ascertain | to act on | to criticize
4,承受,chéng shòu,2759,"v, vn",to bear | to support | to inherit
4,承担,chéng dān,2363,v,to undertake | to assume (responsibility etc)
4,承认,chéng rèn,1327,"v, vn",to admit | to concede | to recognize
4,技巧,jì qiǎo,3853,n,skill | technique
4,抄,chāo,6726,v,to make a copy | to plagiarize | to search and seize
