simplified,vietnamese,pinyin,english,hsk_level
多,,duō,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-,1
多少,,duō shǎo,number; amount; somewhat,1
饿,,è,to be hungry; hungry; to starve (sb),1
儿子,,ér zi,son,1
二,,èr,two; 2; (Beijing dialect) stupid,1
饭,,fàn,cooked rice; meal; (loanword) fan; devotee,1
饭店,,fàn diàn,restaurant; hotel,1
房间,,fáng jiān,room,1
房子,,fáng zi,house; building (single- or two-story); apartment; room,1
放,,fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),1
放假,,fàng jià,to have a holiday or vacation,1
放学,,fàng xué,to dismiss students at the end of the school day,1
飞,,fēi,to fly,1
飞机,,fēi jī,airplane,1
非常,,fēi cháng,very; really; unusual; extraordinary,1
分,,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money),1
风,,fēng,wind; news; style; custom; manner,1
干,,gān,old variant of 干,1
干净,,gān jìng,clean; neat,1
干什么,,gàn shén me,what are you doing?; what's he up to?,1
高,,Gāo,surname Gao,1
高兴,,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood,1
告诉,,gào sù,to press charges; to file a complaint,1
哥,,gē,elder brother,1
哥哥,,gē ge,older brother,1
歌,,gē,song; to sing,1
个,,gě,used in 自个儿,1
给,,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),1
跟,,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),1
工人,,gōng rén,worker,1
工作,,gōng zuò,to work; (of a machine) to operate; job; work; task,1
关,,Guān,surname Guan,1
关上,,guān shàng,"to close (a door); to turn off (light, electrical equipment etc)",1
贵,,guì,expensive; noble; precious; (honorific) your,1
国,,Guó,surname Guo,1
国家,,guó jiā,country; nation; state,1
国外,,guó wài,abroad; external (affairs); overseas; foreign,1
过,,Guō,surname Guo,1
还,,Huán,surname Huan,1
还是,,hái shi,still (as before); had better; unexpectedly; or,1
还有,,hái yǒu,furthermore; in addition; still; also,1
孩子,,hái zi,child,1
汉语,,Hàn yǔ,Chinese language,1
汉字,,hàn zì,Chinese character; Japanese: kanji; Korean: hanja; Vietnamese: hán tự,1
好,,hǎo,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello,1
好吃,,hǎo chī,tasty; delicious,1
好看,,hǎo kàn,"good-looking; nice-looking; good (of a movie, book, TV show etc); embarrassed; humiliated",1
好听,,hǎo tīng,pleasant to hear,1
好玩儿,,hǎo wán r,erhua variant of 玩,1
号,,háo,roar; cry,1
喝,,hē,to drink; variant of 嗬,1
和,,hé,old variant of 和,1
很,,hěn,(adverb of degree); quite; very; awfully,1
后,,Hòu,surname Hou,1
后边,,hòu bian,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards,1
后天,,hòu tiān,"the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 天); acquired (not innate or congenital); a posteriori",1
花,,Huā,surname Hua,1
话,,huà,dialect; language; spoken words; speech; talk; words; conversation; what sb said,1
坏,,huài,bad; spoiled; broken; to break down; (suffix) to the utmost,1
回,,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),1
回答,,huí dá,to reply; to answer; reply; answer,1
回到,,huí dào,to return to,1
回家,,huí jiā,to return home,1
回来,,huí lai,to return; to come back,1
回去,,huí qu,to return; to go back,1
会,,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ]),1
火车,,huǒ chē,train,1
机场,,jī chǎng,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship,1
机票,,jī piào,air ticket; passenger ticket,1
鸡蛋,,jī dàn,(chicken) egg; hen's egg,1
几,,jī,small table,1
记,,jì,"to record; to note; to memorize; to remember; mark; sign; classifier for blows, kicks, shots",1
记得,,jì de,to remember,1
记住,,jì zhu,to remember; to bear in mind; to learn by heart,1
家,,jiā,used in 家伙 and 家俱,1
家里,,jiā lǐ,home,1
家人,,jiā rén,family member; (old) servant,1
间,,jiān,between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms,1
见,,jiàn,to see; to meet; to appear (to be sth); to interview; opinion; view,1
见面,,jiàn miàn,to meet; to see each other,1
叫,,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),1
教,,Jiào,surname Jiao,1
教学楼,,jiào xué lóu,teaching block; school building,1
介绍,,jiè shào,to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction,1
姐,,jiě,older sister,1
姐姐,,jiě jie,older sister,1
今年,,jīn nián,this year,1
今天,,jīn tiān,today; at the present; now,1
进,,jìn,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound,1
进来,,jìn lái,to come in,1
进去,,jìn qù,to go in,1
九,,jiǔ,nine; 9,1
就,,jiù,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 是) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 着) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就 ... 也 ...) even if ... still ...; (pattern: 不 ... 就 ...) if not ... then must be ...,1
觉得,,jué de,to think that ...; to feel that ...; to feel (uncomfortable etc),1
开,,kāi,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format",1
开车,,kāi chē,to drive a car,1
开会,,kāi huì,to hold a meeting; to attend a meeting,1
开玩笑,,kāi wán xiào,to play a joke; to make fun of; to joke,1
看,,kān,to look after; to take care of; to watch; to guard,1
看病,,kàn bìng,to visit a doctor; to see a patient,1
看到,,kàn dào,to see,1
看见,,kàn jiàn,to see; to catch sight of,1
考,,kǎo,to beat; to hit; variant of 考; to inspect; to test; to take an exam,1
考试,,kǎo shì,to take an exam; exam,1
渴,,kě,thirsty,1
课,,kè,subject; course; class; lesson; to levy; tax; form of divination,1
课本,,kè běn,textbook,1
课文,,kè wén,text,1
口,,kǒu,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls",1
块,,kuài,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units",1
快,,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,1
来,,lái,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回来); ever since (as in 自古以来); for the past (amount of time); (prefix) the coming ...; the next ... (as in 来世); (between two verbs) in order to; (after a round number) approximately; (used after 得 to indicate possibility, as in 谈得来, or after 不 to indicate impossibility, as in 吃不来)",1
来到,,lái dào,to arrive; to come,1
老,,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,1
老人,,lǎo rén,old man or woman; the elderly; one's aged parents or grandparents,1
老师,,lǎo shī,teacher,1
了,,le,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",1
累,,lěi,to accumulate; to involve or implicate (Taiwan pr. [lèi]); continuous; repeated,1
冷,,Lěng,surname Leng,1
里,,lǐ,variant of 里,1
里边,,lǐ bian,inside,1
两,,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)",1
零,,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,1
六,,liù,six; 6,1
楼,,Lóu,surname Lou,1
楼上,,lóu shàng,upstairs; (Internet slang) previous poster in a forum thread,1
楼下,,lóu xià,downstairs,1
路,,Lù,surname Lu,1
路口,,lù kǒu,crossing; intersection (of roads),1
路上,,lù shang,on the road; on a journey; road surface,1
妈,,mā,ma; mom; mother,1
妈妈,,mā ma,mama; mommy; mother,1
马路,,mǎ lù,street; road,1
马上,,mǎ shàng,at once; right away; immediately; on horseback (i.e. by military force),1
吗,,má,(coll.) what?,1
买,,mǎi,to buy; to purchase,1
慢,,màn,slow,1
忙,,máng,busy; hurriedly; to hurry; to rush,1
毛,,Máo,surname Mao,1
没,,méi,(negative prefix for verbs) have not; not,1
没关系,,méi guān xi,it doesn't matter,1
没什么,,méi shén me,nothing; it doesn't matter; it's nothing; never mind,1
没事儿,,méi shì r,to have spare time; free from work; it's not important; it's nothing; never mind,1
没有,,méi yǒu,haven't; hasn't; doesn't exist; to not have; to not be,1
妹,,mèi,younger sister,1
妹妹,,mèi mei,younger sister; young woman,1
门,,Mén,surname Men,1
门口,,mén kǒu,doorway; gate,1
门票,,mén piào,"ticket (for theater, cinema etc)",1
们,,men,"plural marker for pronouns, and nouns referring to individuals",1
米饭,,mǐ fàn,(cooked) rice,1
面包,,miàn bāo,bread,1
面条儿,,miàn tiáo r,erhua variant of 面条,1
名字,,míng zi,name (of a person or thing),1
明白,,míng bai,clear; obvious; unequivocal; to understand; to realize,1
明年,,míng nián,next year,1
明天,,míng tiān,tomorrow,1
拿,,ná,old variant of 拿,1
哪,,nǎ,how; which,1
哪儿,,nǎ r,where?; wherever; anywhere; somewhere; (used in rhetorical questions) how can ...?; how could ...?,1
哪里,,nǎ lǐ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪里,1
哪些,,nǎ xiē,which ones?; who?; what?,1
那,,Nā,surname Na,1
那边,,nà bian,over there; yonder,1
那儿,,nà r,there,1
那里,,nà li,there; that place,1
那些,,nà xiē,those,1
奶,,nǎi,breast; milk; to breastfeed,1
奶奶,,nǎi nai,(informal) grandma (paternal grandmother); (respectful) mistress of the house; (coll.) boobies; breasts,1
男,,nán,"male; Baron, lowest of five orders of nobility 位",1
男孩儿,,nán hái r,erhua variant of 孩,1
男朋友,,nán péng you,boyfriend,1
男人,,nán rén,a man; a male; men,1
男生,,nán shēng,schoolboy; male student; boy; guy (young adult male),1
南,,Nán,surname Nan,1
南边,,nán bian,south; south side; southern part; to the south of,1
难,,nán,difficult (to...); problem; difficulty; difficult; not good,1
呢,,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation",1
能,,Néng,surname Neng,1
你,,nǐ,"you (informal, as opposed to courteous 您)",1
你们,,nǐ men,you (plural),1
年,,Nián,surname Nian,1
您,,nín,"you (courteous, as opposed to informal 你)",1
牛奶,,niú nǎi,cow's milk,1
女,,nu:3,female; woman; daughter,1
女儿,,nu:3 ér,daughter,1
女孩儿,,nu:3 hái r,erhua variant of 孩,1
女朋友,,nu:3 péng you,girlfriend,1
女人,,nu:3 rén,woman,1
女生,,nu:3 shēng,schoolgirl; female student; girl,1
旁边,,páng biān,side; adjacent place,1
跑,,páo,(of an animal) to paw (the ground),1
朋友,,péng you,friend,1
票,,piào,"ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions",1
七,,qī,seven; 7,1
起,,qǐ,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group",1
起床,,qǐ chuáng,to get out of bed; to get up,1
起来,,qǐ lai,to stand up; to get up; also pr. [qǐ lái],1
汽车,,qì chē,car; automobile; bus,1
前,,qián,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,1
前边,,qián bian,front; the front side; in front of,1
前天,,qián tiān,the day before yesterday,1
钱,,Qián,surname Qian,1
钱包,,qián bāo,purse; wallet,1
请,,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request,1
请假,,qǐng jià,to request leave of absence,1
请进,,qǐng jìn,"""please come in""",1
请问,,qǐng wèn,"Excuse me, may I ask...?",1
请坐,,qǐng zuò,"please, have a seat",1
球,,qiú,ball; sphere; globe; ball game; match,1
去,,qù,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),1
去年,,qù nián,last year,1
热,,rè,to warm up; to heat up; hot (of weather); heat; fervent,1
人,,rén,person; people,1
认识,,rèn shi,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition,1
认真,,rèn zhēn,conscientious; earnest; serious; to take seriously; to take to heart,1
日,,Rì,"abbr. for 本, Japan",1
日期,,rì qī,date,1
肉,,ròu,meat; flesh; pulp (of a fruit); (coll.) (of a fruit) squashy; (of a person) flabby; irresolute; Kangxi radical 130,1
三,,Sān,surname San,1
山,,Shān,surname Shan,1
商场,,shāng chǎng,shopping mall; shopping center; department store; emporium; the business world,1
商店,,shāng diàn,store; shop,1
上,,shǎng,used in 上声,1
上班,,shàng bān,to go to work; to be on duty; to start work; to go to the office,1
上边,,shàng bian,the top; above; overhead; upwards; the top margin; above-mentioned; those higher up,1
上车,,shàng chē,"to get on or into (a bus, train, car etc)",1
上次,,shàng cì,last time,1
上课,,shàng kè,to go to class; to attend class; to go to teach a class,1
上网,,shàng wǎng,"to go online; to connect to the Internet; (of a document etc) to be uploaded to the Internet; (tennis, volleyball etc) to move in close to the net",1
上午,,shàng wǔ,morning,1
上学,,shàng xué,to go to school; to attend school,1
少,,shǎo,few; less; to lack; to be missing; to stop (doing sth); seldom,1
身上,,shēn shang,on the body; at hand; among,1
身体,,shēn tǐ,the body; one's health; in person,1
什么,,shén me,what?; something; anything,1
生病,,shēng bìng,to fall ill,1
生气,,shēng qì,to get angry; to take offense; angry; vitality; liveliness,1
生日,,shēng rì,birthday,1
十,,shí,ten; 10,1
时候,,shí hou,time; length of time; moment; period,1
时间,,shí jiān,time; period,1
事,,shì,matter; thing; item; work; affair,1
试,,shì,to test; to try; experiment; examination; test,1
是,,shì,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),1
是不是,,shì bù shì,is or isn't; yes or no; whether or not,1
手,,shǒu,hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill,1
手机,,shǒu jī,cell phone; mobile phone,1
书,,Shū,abbr. for 书经,1
书包,,shū bāo,schoolbag; satchel; bookbag,1
书店,,shū diàn,bookstore,1
树,,shù,tree; to cultivate; to set up,1
谁,,shéi,who; also pr. [shuí],1
水,,Shuǐ,surname Shui,1
水果,,shuǐ guǒ,fruit,1
睡,,shuì,to sleep; to lie down,1
睡觉,,shuì jiào,to go to bed; to sleep,1
说,,shuì,to persuade,1
说话,,shuō huà,to speak; to say; to talk; to gossip; to tell stories; talk; word,1
四,,sì,four; 4,1
送,,sòng,to send; to deliver; to transmit; to give (as a present); to see (sb) off; to accompany; to go along with,1
岁,,suì,"variant of 岁, year; years old",1
他,,tā,he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other,1
他们,,tā men,they,1
她,,tā,she,1
她们,,tā men,they; them (for females),1
太,,tài,highest; greatest; too (much); very; extremely,1
天,,tiān,day; sky; heaven,1
天气,,tiān qì,weather,1
听,,yǐn,smile (archaic),1
听到,,tīng dào,to hear,1
听见,,tīng jiàn,to hear,1
听写,,tīng xiě,(of a pupil) to write down (in a dictation exercise); dictation; (music) to transcribe by ear,1
同学,,tóng xué,to study at the same school; fellow student; classmate,1
图书馆,,tú shū guǎn,library,1
外,,wài,outside; in addition; foreign; external,1
外边,,wài bian,outside; outer surface; abroad; place other than one's home,1
外国,,wài guó,foreign (country),1
外语,,wài yǔ,foreign language,1
玩儿,,wán r,to play; to have fun; to hang out,1
晚,,wǎn,evening; night; late,1
晚饭,,wǎn fàn,evening meal; dinner; supper,1
晚上,,wǎn shang,evening; night; in the evening,1
网上,,wǎng shàng,online,1
网友,,wǎng yǒu,online friend; Internet user,1
忘,,wàng,to forget; to overlook; to neglect,1
忘记,,wàng jì,to forget,1
问,,wèn,to ask; to inquire,1
我,,wǒ,I; me; my,1
我们,,wǒ men,we; us; ourselves; our,1
五,,wǔ,five; 5,1
午饭,,wǔ fàn,lunch,1
洗,,xǐ,to wash; to bathe; to develop (photographs); to shuffle (cards etc); to erase (a recording),1
洗手间,,xǐ shǒu jiān,toilet; lavatory; washroom,1
喜欢,,xǐ huan,to like; to be fond of,1
西,,Xī,the West; abbr. for Spain 牙; Spanish,1
西边,,xī biān,west; west side; western part; to the west of,1
下,,xià,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action",1
下班,,xià bān,to finish work; to get off work,1
下边,,xià bian,under; the underside; below,1
下车,,xià chē,"to get off or out of (a bus, train, car etc)",1
下次,,xià cì,next time,1
下课,,xià kè,to finish class; to get out of class; (fig.) (esp. of a sports coach) to be dismissed; to be fired,1
下午,,xià wǔ,afternoon; p.m.,1
下雨,,xià yǔ,to rain,1
先,,xiān,early; prior; former; in advance; first,1
先生,,xiān sheng,teacher; gentleman; sir; mister (Mr.); husband; (dialect) doctor,1
现在,,xiàn zài,now; at present; at the moment; modern; current; nowadays,1
想,,xiǎng,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),1
小,,xiǎo,small; tiny; few; young,1
小孩儿,,xiǎo hái r,erhua variant of 孩,1
小姐,,xiǎo jie,young lady; miss; (slang) prostitute,1
小朋友,,xiǎo péng yǒu,child,1
小时,,xiǎo shí,hour,1
小学,,xiǎo xué,elementary school; primary school,1
小学生,,xiǎo xué shēng,primary school student; schoolchild; (fig.) beginner,1
笑,,xiào,old variant of 笑,1
写,,xiě,to write,1
谢谢,,xiè xie,to thank; thanks; thank you,1
新,,Xīn,abbr. for Xinjiang 疆 or Singapore 坡; surname Xin,1
新年,,xīn nián,New Year,1
星期,,xīng qī,week; day of the week; Sunday,1
星期日,,Xīng qī rì,Sunday,1
星期天,,Xīng qī tiān,Sunday,1
行,,háng,"row; line; commercial firm; line of business; profession; to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column",1
休息,,xiū xi,rest; to rest,1
学,,xué,to learn; to study; to imitate; science; -ology,1
学生,,xué sheng,student; schoolchild,1
学习,,xué xí,to learn; to study,1
学校,,xué xiào,school,1
学院,,xué yuàn,college; educational institute; school; faculty,1
要,,yāo,(bound form) to demand; to coerce,1
也,,Yě,surname Ye,1
页,,xié,head,1
爷爷,,yé ye,(coll.) father's father; paternal grandfather,1
一,,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit",1
一半,,yī bàn,half,1
一边,,yī biān,one side; either side; on the one hand; on the other hand; doing while,1
一点儿,,yī diǎn r,erhua variant of 一点,1
一会儿,,yī huì r,a moment; a while; in a moment; now...now...; also pr. [yī huǐ r],1
一块儿,,yī kuài r,erhua variant of 一块,1
一起,,yī qǐ,in the same place; together; with; altogether (in total),1
一下儿,,yī xià r,erhua variant of 下,1
一些,,yī xiē,some; a few; a little; (following an adjective) slightly ...er,1
一样,,yī yàng,same; like; equal to; the same as; just like,1
衣服,,yī fu,clothes,1
医生,,yī shēng,doctor,1
医院,,yī yuàn,hospital,1
用,,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,1
有,,yǒu,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional),1
有的,,yǒu de,(there are) some (who are...); some (exist),1
有名,,yǒu míng,famous; well-known,1
有时,,yǒu shí,sometimes; now and then,1
有时候,,yǒu shí hou,sometimes,1
有些,,yǒu xiē,some; somewhat,1
有一些,,yǒu yī xiē,somewhat; rather; some,1
有用,,yǒu yòng,useful,1
右,,yòu,(bound form) right; right-hand side; (bound form) (politics) right of center; (bound form) (old) west; (literary) the right side as the side of precedence,1
右边,,yòu bian,"right side; right, to the right",1
雨,,yǔ,rain,1
元,,Yuán,surname Yuan; the Yuan or Mongol dynasty (1279-1368),1
远,,yuǎn,far; distant; remote; (intensifier in a comparison) by far; much (lower etc),1
月,,yuè,moon; month; monthly,1
再,,zài,"again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)",1
再见,,zài jiàn,goodbye; see you again later,1
在,,zài,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),1
在家,,zài jiā,to be at home; (at a workplace) to be in (as opposed to being away on official business 差); (Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 家),1
早,,zǎo,early; morning; Good morning!; long ago; prematurely,1
